"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Slovenia","2020","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Import","128950.41","18601.35","Weight in kilograms","18601.35"
"Slovenia","2020","Spices; seeds of anise, badian, caraway or fennel; juniper berries, crushed or ground","Export","2569.34","417.65","Weight in kilograms","417.65"
"Slovenia","2020","Spices; ginger, neither crushed nor ground","Import","1324577.07","371425.87","Weight in kilograms","371425.87"
"Slovenia","2020","Spices; ginger, neither crushed nor ground","Export","225926.77","70375.82","Weight in kilograms","70375.82"
"Slovenia","2020","Spices; ginger, crushed or ground","Import","92701.71","12355.59","Weight in kilograms","12355.59"
"Slovenia","2020","Spices; ginger, crushed or ground","Export","37625.67","2424.73","Weight in kilograms","2424.73"
"Slovenia","2020","Spices; saffron","Export","30899.83","259.238","Weight in kilograms","259.238"
"Slovenia","2020","Spices; saffron","Import","25178.09","512.566","Weight in kilograms","512.566"
"Slovenia","2020","Spices; turmeric (curcuma)","Import","278418.56","45552.87","Weight in kilograms","45552.87"
"Slovenia","2020","Spices; turmeric (curcuma)","Export","83382","6541.64","Weight in kilograms","6541.64"
"Slovenia","2020","Spices; mixtures of 2 or more products of different headings","Import","425324.71","46228.69","Weight in kilograms","46228.69"
"Slovenia","2020","Spices; mixtures of 2 or more products of different headings","Export","90463.44","16525.27","Weight in kilograms","16525.27"
"Slovenia","2020","Spices; n.e.c. in heading no. 0910","Import","1940981.86","331648.22","Weight in kilograms","331648.22"
"Slovenia","2020","Spices; n.e.c. in heading no. 0910","Export","66747.38","6711.26","Weight in kilograms","6711.26"
"Slovenia","2019","Coffee; not roasted or decaffeinated","Import","39480601.02","16797257.14","Weight in kilograms","16797257.14"
"Slovenia","2019","Coffee; not roasted or decaffeinated","Export","17417284.55","7679199.77","Weight in kilograms","7679199.77"
